vehicle_id	office_code	orders	share_of_office_orders
NAVAIR-HQ-BOA	N00019	714	0.464844
N0001921D0004	N00019	58	0.03776
N0001924D0114	N00019	44	0.028646
N0001922D0038	N00019	31	0.020182
N0001923D0009	N00019	25	0.016276
N0001923D0015	N00019	25	0.016276
N0001918D0001	N00019	24	0.015625
N0001919D0023	N00019	24	0.015625
N0001918D0111	N00019	23	0.014974
N0001925D0012	N00019	19	0.01237
N0001920D0013	N00019	18	0.011719
N0001924D0106	N00019	16	0.010417
N0001920D0001	N00019	14	0.009115
N0001920D0051	N00019	14	0.009115
N0001922D0013	N00019	13	0.008464
N0001920D0016	N00019	12	0.007812
N0001923D0012	N00019	12	0.007812
N0001924D0119	N00019	12	0.007812
N0001923D0001	N00019	11	0.007161
N0001921D0010	N00019	10	0.00651
N0001925D0009	N00019	10	0.00651
N0001923D0008	N00019	9	0.005859
N0001923D0013	N00019	9	0.005859
N0001923D0022	N00019	9	0.005859
N0001919D0005	N00019	8	0.005208
NASA-SEWP	N00019	8	0.005208
GSA-MAS	N00019	7	0.004557
N0001917D0004	N00019	7	0.004557
N0001918D0103	N00019	7	0.004557
N0001919D0001	N00019	7	0.004557
N0001919D0015	N00019	7	0.004557
N0001920D0017	N00019	7	0.004557
N0001922D0009	N00019	7	0.004557
N0001922D0042	N00019	7	0.004557
N0001923D0011	N00019	7	0.004557
N0001923D0018	N00019	7	0.004557
N0001924D0126	N00019	7	0.004557
N0001920D0008	N00019	6	0.003906
N0001922D0011	N00019	6	0.003906
N0001925D0016	N00019	6	0.003906
N6134019D1010	N00019	6	0.003906
N0001919D0026	N00019	5	0.003255
N0001920D0007	N00019	5	0.003255
N0001922D0006	N00019	5	0.003255
N0001922D0022	N00019	5	0.003255
DON-ESL-BPA	N00019	4	0.002604
N0001917D0089	N00019	4	0.002604
N0001918D0110	N00019	4	0.002604
N0001918D0123	N00019	4	0.002604
N0001919D0012	N00019	4	0.002604
N0001919D0013	N00019	4	0.002604
N0001919D0027	N00019	4	0.002604
N0001919D0032	N00019	4	0.002604
N0001920D0109	N00019	4	0.002604
N0001921D0050	N00019	4	0.002604
N0001922D0001	N00019	4	0.002604
N0001922D0004	N00019	4	0.002604
N0001922D0007	N00019	4	0.002604
N0001923D0010	N00019	4	0.002604
N0001923D0014	N00019	4	0.002604
N6134019D1006	N00019	4	0.002604
N0001917D0009	N00019	3	0.001953
N0001917D0101	N00019	3	0.001953
N0001918D0118	N00019	3	0.001953
N0001919D0021	N00019	3	0.001953
N0001920D0004	N00019	3	0.001953
N0001920D0023	N00019	3	0.001953
N0001920D0024	N00019	3	0.001953
N0001920D0106	N00019	3	0.001953
N0001921D0001	N00019	3	0.001953
N0001921D0011	N00019	3	0.001953
N0001922D0003	N00019	3	0.001953
N0001922D0008	N00019	3	0.001953
N0001922D0040	N00019	3	0.001953
N0001922D0043	N00019	3	0.001953
N0001924D0004	N00019	3	0.001953
N0001924D0110	N00019	3	0.001953
N0001925D0014	N00019	3	0.001953
N0001925D0023	N00019	3	0.001953
N6833523D0001	N00019	3	0.001953
FA857619D0001	N00019	1	0.000651
N0042117G0003	N00019	1	0.000651
N0042121G0004	N00019	1	0.000651
N0042121G0005	N00019	1	0.000651
N0042124G0005	N00019	1	0.000651
N6833522G0010	N00019	1	0.000651
N6852020D0012	N00019	1	0.000651
NAWCAD-SCI-MAC	N00019	1	0.000651
NASA-SEWP	N00421	182	0.086874
N0042123D0001	N00421	179	0.085442
NAWCAD-SCI-MAC	N00421	139	0.066348
N0042122D0099	N00421	103	0.049165
SEAPORT-NXG	N00421	76	0.036277
DON-ESL-BPA	N00421	59	0.028162
GSA-MAS	N00421	55	0.026253
N0042120D0123	N00421	51	0.024344
N0042124D0012	N00421	51	0.024344
N0042121D0008	N00421	41	0.01957
N0042124D0020	N00421	31	0.014797
N0042121D0023	N00421	29	0.013842
N0042120D0108	N00421	28	0.013365
N0042123D0007	N00421	28	0.013365
N0042119D0047	N00421	27	0.012888
N0042121G0005	N00421	25	0.011933
NAVAIR-HQ-BOA	N00421	25	0.011933
N0042118D0017	N00421	24	0.011456
N0042124G0005	N00421	23	0.010979
N0042118D0016	N00421	20	0.009547
N0042121D0019	N00421	20	0.009547
N0042124D0022	N00421	19	0.009069
N0042119D0023	N00421	18	0.008592
N0042119D0075	N00421	17	0.008115
N0042122D0101	N00421	17	0.008115
N0042118D0015	N00421	16	0.007637
N0042124D0005	N00421	16	0.007637
N0042120D0001	N00421	15	0.00716
N0042120D0024	N00421	14	0.006683
N0042120D0071	N00421	13	0.006205
